url,label
https://www.google.com,SAFE
https://www.google.com/search?q=python,SAFE
https://wikipedia.org/wiki/Computer,SAFE
https://www.mozilla.org/en-US/firefox/,SAFE
https://www.microsoft.com/en-us/,SAFE
https://www.apple.com/support/,SAFE
https://github.com/python/cpython,SAFE
https://docs.python.org/3/library/,SAFE
https://pypi.org/project/fastapi/,SAFE
https://stackoverflow.com/questions,SAFE
https://www.nasa.gov/,SAFE
https://www.nationalgeographic.com/,SAFE
https://www.britannica.com/topic/computer,SAFE
https://www.weather.gov/,SAFE
https://www.loc.gov/,SAFE
https://www.si.edu/,SAFE
https://www.un.org/en/,SAFE
https://www.gov.uk/,SAFE
https://www.canada.ca/en.html,SAFE
https://www.samsung.com/us/,SAFE
http://example.org/about,SAFE
https://developer.mozilla.org/en-US/docs/Web/API,SAFE
https://www.khanacademy.org/computing,SAFE
https://openlibrary.org/,SAFE
https://accounts.google.com/signin/v2/identifier,SAFE
https://www.google.com/account/login,SAFE
https://login.microsoftonline.com/common/oauth2,SAFE
https://github.com/login,SAFE
https://appleid.apple.com/sign-in,SAFE
https://www.amazon.com/ap/signin,SAFE
https://www.paypal.com/signin,SAFE
https://login-update.example.test/account,SUSPICIOUS
https://account-verify.example.test/signin,SUSPICIOUS
https://secure-wallet.example.test/confirm,SUSPICIOUS
https://support-login.example.test/help,SUSPICIOUS
https://verify-account.example.test/session,SUSPICIOUS
https://password-reset.example.test/auth,SUSPICIOUS
https://billing-update.example.test/invoice,SUSPICIOUS
https://signin-alert.example.test/account,SUSPICIOUS
https://mailbox-security.example.test/verify,SUSPICIOUS
https://customer-support.example.test/recover,SUSPICIOUS
https://account-check.example.test/login,SUSPICIOUS
https://secure-access.example.test/member,SUSPICIOUS
https://confirm-payment.example.test/billing,SUSPICIOUS
https://wallet-connect.example.test/validate,SUSPICIOUS
https://profile-update.example.test/identity,SUSPICIOUS
https://document-share.example.test/view?continue=login,SUSPICIOUS
https://service-notice.example.test/verify?account=12345,SUSPICIOUS
https://signin.example.test:8443/confirm,SUSPICIOUS
http://portal.example.test/password-reset,SUSPICIOUS
https://account.example.test/a/very/long/verification/path?return=%2Fsecure,SUSPICIOUS
https://xn--pple-43d.example.test/signin,SUSPICIOUS
https://login.member.example.test.account-check.example/verify,SUSPICIOUS
https://secure--account.example.test/update,SUSPICIOUS
https://192.0.2.23/login,DANGEROUS
http://198.51.100.42/secure-login,DANGEROUS
http://203.0.113.9/download/update.exe,DANGEROUS
https://192.0.2.77/account-verify,DANGEROUS
http://198.51.100.18/invoice/view.exe,DANGEROUS
http://203.0.113.101/signin?session=12345,DANGEROUS
https://192.0.2.88:8080/wallet/confirm,DANGEROUS
http://198.51.100.9/%2e%2e/login.exe,DANGEROUS
https://user@secure.example.test/login,DANGEROUS
http://account-login.example.test:8081/verify?redirect=%2Fauth,DANGEROUS
https://secure-account-verify.example.test/download.msi,DANGEROUS
http://wallet-recovery.example.test:8443/confirm?next=login,DANGEROUS
https://xn--bank-9za.example.test/account/verify,DANGEROUS
http://verify.login.account.example.test:8080/password-reset,DANGEROUS
https://support-confirm-billing.example.test/a/b/c/d/e/f/g/h/i/j?k=1,DANGEROUS
http://download.example.test/update.bat,DANGEROUS
https://member-login-verify.example.test:9443/secure/account,DANGEROUS
http://account-security-update.example.test/validate?user=a%40b.test,DANGEROUS
https://password-wallet-account.example.test/auth/confirm,DANGEROUS
http://signin-recover-billing.example.test:8888/login.exe,DANGEROUS
https://203.0.113.55/secure/update?account=1001,DANGEROUS
http://portal-verify-account.example.test/download.ps1,DANGEROUS
